
2024/12/02 (22:18:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/03 (00:34:10) | ===> btop++ v.1.4.0
2024/12/03 (00:34:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/03 (14:09:33) | ===> btop++ v.1.4.0
2024/12/03 (14:09:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/03 (18:15:57) | ===> btop++ v.1.4.0
2024/12/03 (18:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/03 (19:00:04) | ===> btop++ v.1.4.0
2024/12/03 (19:00:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/03 (22:56:44) | ===> btop++ v.1.4.0
2024/12/03 (22:56:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/04 (14:33:57) | ===> btop++ v.1.4.0
2024/12/04 (14:33:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/04 (14:35:54) | ===> btop++ v.1.4.0
2024/12/04 (14:35:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/04 (14:36:25) | ===> btop++ v.1.4.0
2024/12/04 (14:36:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/04 (15:43:05) | ===> btop++ v.1.4.0
2024/12/04 (15:43:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/04 (18:43:20) | ===> btop++ v.1.4.0
2024/12/04 (18:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/10 (23:15:40) | ===> btop++ v.1.4.0
2024/12/10 (23:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/23 (23:29:01) | ===> btop++ v.1.4.0
2024/12/23 (23:29:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (23:29:15) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/12/23 (23:29:24) | ===> btop++ v.1.4.0
2024/12/23 (23:29:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/27 (15:19:43) | ===> btop++ v.1.4.0
2024/12/27 (15:19:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/07 (16:13:48) | ===> btop++ v.1.4.0
2025/01/07 (16:13:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/07 (16:14:02) | ===> btop++ v.1.4.0
2025/01/07 (16:14:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/14 (18:13:47) | ===> btop++ v.1.4.0
2025/01/14 (18:13:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/16 (09:30:46) | ===> btop++ v.1.4.0
2025/01/16 (09:30:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/16 (10:02:05) | ===> btop++ v.1.4.0
2025/01/16 (10:02:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/16 (10:14:05) | ===> btop++ v.1.4.0
2025/01/16 (10:14:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/21 (12:41:26) | ===> btop++ v.1.4.0
2025/01/21 (12:41:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/28 (22:03:22) | ===> btop++ v.1.4.0
2025/01/28 (22:03:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/28 (22:08:55) | ===> btop++ v.1.4.0
2025/01/28 (22:08:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/29 (11:35:34) | ===> btop++ v.1.4.0
2025/01/29 (11:35:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/29 (11:39:57) | ===> btop++ v.1.4.0
2025/01/29 (11:39:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/29 (15:51:50) | ===> btop++ v.1.4.0
2025/01/29 (15:51:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (23:13:29) | ===> btop++ v.1.4.0
2025/02/02 (23:13:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (23:13:39) | ===> btop++ v.1.4.0
2025/02/02 (23:13:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/02 (23:14:02) | ===> btop++ v.1.4.0
2025/02/02 (23:14:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

